決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,14,0,60003,山形県,1,山形県営駐車場,19,1,0,1,1,0,0,0,0,0,4021001,4010401,0,2,1,100400,5,0,7806,300,700,2230,0,771136,742504,389,15509,7394,5340,0,273000,91000,407136,0,4010908,0,4011214,4020910,0,250,250,0,16000,11000,0,4060401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,100005,群馬県,2,ｳｴｽﾄﾊﾟｰｸ１０００,19,1,0,1,1,0,0,0,0,0,4130401,4091021,0,2,1,100400,7,0,29702,1000,0,2400,0,5564037,2958144,2263797,171725,13117,157254,0,0,0,5564037,0,4110824,4110830,4111215,4130323,0,160,160,0,15750,10500,0,4140401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,160008,富山県,1,富山県営富山駐車場,19,1,0,1,1,0,0,0,0,0,3511101,3511101,0,2,1,100400,3,0,3115,170,0,2400,0,194250,189931,551,0,3265,503,0,0,194000,250,0,3510311,3510328,3510516,3511025,0,315,0,0,18900,0,10500,4090401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,160008,富山県,3,富山県営富山中央駐車場,19,1,0,1,1,0,0,0,0,0,4040601,4040601,0,2,1,100400,6,0,5606,232,0,2400,0,702881,699548,415,765,2153,0,0,333000,0,369881,0,0,0,4030904,4040525,0,315,0,0,18900,0,10500,4090401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,242012,津市,1,お城東駐車場,19,1,0,3,1,0,0,0,0,0,3540301,4040301,0,3,2,3400,0,0,4147,179,700,2200,0,195357,31542,163815,0,0,0,0,97000,88600,9757,0,3540205,0,3531124,3540224,0,100,100,0,12600,0,0,4160601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,242012,津市,2,フェニックス駐車場,19,1,0,3,2,0,0,0,0,0,3600401,4040301,0,3,2,100400,8,0,7412,161,700,2300,0,809447,512179,296000,0,1268,0,0,767100,0,42347,0,3590420,0,3590715,3600315,0,200,200,0,15750,0,0,4160601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,242012,津市,3,アスト駐車場,19,1,0,3,1,0,0,0,0,0,4130301,4130301,0,3,2,100400,9,0,12575,380,500,100,0,1793886,991022,793128,0,9736,0,0,529000,0,1264886,0,4040313,0,4101009,4130131,0,200,200,0,15750,0,0,4160601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,242012,津市,4,ポルタひさい駐車場,19,1,0,3,2,0,0,0,0,0,4250901,4250901,0,3,2,100400,6,0,13972,300,0,2400,0,312283,0,0,312283,0,0,0,0,0,312283,0,0,0,0,0,0,200,200,0,10500,0,0,4250901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,322016,松江市,1,大手前駐車場,19,1,0,3,1,0,0,0,0,0,3630401,3630401,0,2,1,3400,0,0,2600,66,0,2400,0,64041,59424,0,1754,2863,0,0,61000,0,3041,0,0,0,3630401,3630401,0,300,0,0,0,0,0,4250318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,14,0,322016,松江市,2,城山西駐車場,19,1,0,3,1,0,0,0,0,0,3630401,3630401,0,2,1,3400,0,0,10698,164,830,1730,0,942905,149614,775107,548,10632,7004,0,920400,0,22505,0,0,0,3630401,3630401,0,300,0,1500,0,0,0,4120401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
