決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2019,46,17,5,284432,福崎町,0,,21,1,7,4,1,3,4,2,6,1,3710,1603,0,0,1161,6474,30360,30360,0,0,96470,10434,1134,777,4369,0,1766,0,28966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5292.0,186042.0,12.0,1.0,3710.0,3470.0,240.0,0.0,1134.0,26.0,0.0,934.0,174.0,4844.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,186042.0,0.0,13373.0,13373.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,284467,神河町,0,,21,1,7,4,1,4,1,2,7,1,0,0,0,0,0,0,15830,15830,0,0,63051,10168,110,362,9210,145,0,0,20760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,120460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120460.0,0.0,45135.0,15830.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,285854,香美町,0,,21,1,7,4,2,5,1,2,5,1,0,0,0,0,0,0,35209,35209,0,0,99539,8029,207,452,4294,845,286,984,18207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4215.0,172267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172267.0,0.0,10406.0,10406.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,285862,新温泉町,0,,21,1,7,4,1,3,1,2,6,1,0,0,0,0,0,0,29836,29836,0,0,174196,14580,402,645,1045,0,0,394,27630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,249035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249035.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,292010,奈良市,0,,21,1,3,3,2,3,1,2,7,1,0,0,0,0,0,0,29543,29543,0,0,294475,10825,5709,16,4322,1128,0,0,60574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,408212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408212.0,0.0,29543.0,13524.0,0.0,0.0,29543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,292044,天理市,0,,21,1,5,3,2,5,1,2,5,1,0,0,0,0,0,0,27307,27307,0,0,80848,3037,77,152,2683,315,0,0,13507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,128068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128068.0,0.0,26490.0,26490.0,0.0,0.0,27307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,312011,鳥取市,0,,21,1,4,3,1,2,1,2,7,2,0,0,0,0,0,0,275418,275418,0,0,1147525,6,103593,2829,83138,258,4662,0,234963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142879.0,1995271.0,24.0,2.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,57.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,1995271.0,0.0,198055.0,266178.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,312029,米子市,0,,21,1,4,3,2,2,1,2,6,1,18822,8018,0,0,5468,32308,81342,81342,0,0,361440,37745,232,1782,14881,0,1054,0,115278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6438.0,652500.0,48.0,4.0,18822.0,18024.0,798.0,0.0,5488.0,529.0,8.0,4809.0,142.0,24310.0,204.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,652500.0,0.0,81448.0,61002.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,314013,日南町,0,,21,1,8,4,1,5,1,2,6,1,6881,3348,0,978,2009,13216,11787,11787,0,0,67723,11315,102,404,4076,0,567,0,12869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4513.0,126572.0,12.0,1.0,6881.0,6521.0,360.0,0.0,3348.0,0.0,0.0,2694.0,654.0,10229.0,47.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,0.0,0.0,0.0,0.0,126572.0,0.0,0.0,4609.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,314030,江府町,0,,21,1,8,4,2,5,1,2,6,1,4554,2286,0,0,1442,8282,19652,19652,0,0,68247,4858,2447,473,991,0,49,0,7337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8866.0,121202.0,12.0,1.0,4554.0,4398.0,156.0,0.0,2478.0,609.0,0.0,1845.0,24.0,7032.0,49.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0,0.0,0.0,0.0,121202.0,0.0,19652.0,19652.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
