決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,2,0,10006,北海道,1,室蘭地区工業用水道,2,1,3,1,1,1,1,1,7,0,3390101,0,3421101,3560401.0,3390401.0,13762004.0,1.0,0.0,7.0,42607.0,42614.0,0.0,4899786.0,0.0,1317200.0,0.0,3552300.0,0.0,26285.0,0.0,4001.0,0.0,4506628.0,400.0,1745626.0,6252654.0,400.0,123638.0,123638.0,0.0,0.0,123638.0,0.0,0.0,35047.0,3.0,0.0,0.0,115000.0,115000.0,512726.0,35440.0,97364.0,107710.0,0.0,35224.0,39209.0,1800.0,2250.0,2700.0,0.0,4111001.0,0.0,14.0,0.0,0.0,0.0,2.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,10006,北海道,2,苫小牧地区工業用水道,2,1,2,1,1,1,1,1,7,0,3430401,0,3450401,3480401.0,3390401.0,13751604.0,0.0,0.0,35.0,33943.0,33978.0,0.0,6788566.0,0.0,1739258.0,0.0,4749000.0,0.0,270000.0,0.0,30308.0,0.0,4969307.0,500.0,2622595.0,7592402.0,400.0,214000.0,214000.0,0.0,0.0,214000.0,1084.0,1026.0,66563.0,8.0,4.0,3.0,200000.0,200000.0,897088.0,31542.0,86655.0,140490.0,0.0,30457.0,51523.0,2000.0,2500.0,3000.0,0.0,4230401.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,10006,北海道,5,石狩湾新港地域工業用水道,2,1,5,1,2,1,1,1,4,0,3510401,0,4110401,0.0,3390401.0,11011203.0,0.0,0.0,31.0,1579333.0,1579364.0,18952000.0,15360282.0,5764300.0,4495253.0,8394000.0,8296000.0,4385932.0,2128133.0,407768.0,440896.0,17003900.0,13258815.0,5000.0,4466148.0,34733863.0,400.0,12000.0,12000.0,0.0,0.0,0.0,134.0,0.0,38729.0,6.0,2.0,2.0,12000.0,12000.0,75273.0,472.0,1293.0,2876.0,0.0,480.0,1101.0,5500.0,6880.0,8250.0,0.0,4190401.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,12050,室蘭市,1,室蘭市工業用水道,2,1,5,3,1,1,2,3,6,0,4011007,0,0,4020401.0,4020401.0,12051809.0,1.0,0.0,1.0,18221.0,18222.0,0.0,109326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109326.0,0.0,0.0,0.0,0.0,0.0,100000.0,6000.0,0.0,0.0,6000.0,6000.0,200.0,0.0,2132.0,0.0,0.0,1.0,6000.0,6000.0,126333.0,631.0,1727.0,2500.0,0.0,631.0,913.0,1300.0,0.0,1300.0,0.0,4040401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,12068,釧路市,1,釧路市工業用水道,2,1,5,3,1,8,1,4,7,0,3500419,0,3511001,0.0,3500419.0,10511839.0,1.0,0.0,4.0,59571.0,59575.0,1191428.0,974848.0,459731.0,362257.0,590900.0,471800.0,11747.0,11741.0,129050.0,129050.0,1021626.0,805016.0,1900.0,178443.0,2006985.0,20000.0,20000.0,0.0,0.0,20000.0,8640.0,904.0,0.0,6026.0,8.0,1.0,3.0,20000.0,15000.0,90582.0,1775.0,4864.0,8818.0,0.0,1704.0,3219.0,1900.0,1900.0,3800.0,0.0,4020401.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,12157,美唄市,1,美唄浄水場,2,1,5,3,2,8,1,1,7,0,3480401,0,3560331,0.0,3480401.0,10521133.0,2.0,0.0,12.0,210167.0,210179.0,1954551.0,1930658.0,779004.0,767058.0,822700.0,819700.0,39508.0,42004.0,313339.0,301896.0,1731119.0,1708990.0,3500.0,766171.0,4209780.0,400.0,10000.0,10000.0,0.0,0.0,1000.0,8526.0,0.0,19228.0,0.0,1.0,1.0,9300.0,9300.0,57756.0,86.0,236.0,264.0,0.0,62.0,103.0,3500.0,0.0,7100.0,0.0,3551220.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,19968,釧路白糠工業用水道企業団,1,釧路白糠工業用水道事業,2,1,5,5,1,8,1,1,4,0,4031008,0,4140401,4210401.0,4030401.0,16412211.0,1.0,0.0,11.0,411380.0,411391.0,4591002.0,4591002.0,1802761.0,1802761.0,2533700.0,2533700.0,143329.0,143329.0,111212.0,111212.0,4393123.0,4393123.0,4500.0,1886775.0,10677521.0,400.0,11833.0,11833.0,0.0,0.0,11833.0,36.0,3662.0,14061.0,6.0,1.0,1.0,11160.0,11160.0,64153.0,1045.0,2864.0,2970.0,0.0,1040.0,1040.0,5000.0,5000.0,10000.0,0.0,4170401.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1687929.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,20001,青森県,1,八戸工業用水道,2,1,2,1,1,1,2,3,7,0,3400330,0,3410601,3451001.0,3410401.0,13672333.0,2.0,0.0,10.0,5104.0,5114.0,0.0,1786544.0,0.0,0.0,0.0,1742000.0,0.0,0.0,0.0,44544.0,0.0,0.0,0.0,0.0,0.0,100000.0,375000.0,0.0,0.0,375000.0,375000.0,348.0,0.0,21822.0,12.0,0.0,0.0,350000.0,350000.0,1572182.0,108751.0,297948.0,313080.0,0.0,102554.0,115397.0,738.0,738.0,1476.0,0.0,4160401.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,20001,青森県,2,六ヶ所工業用水道,2,1,5,1,2,5,2,2,4,0,4130401,0,4140401,4270401.0,4130401.0,16671604.0,0.0,0.0,2.0,144412.0,144414.0,722059.0,566124.0,0.0,0.0,690000.0,542000.0,0.0,0.0,32059.0,24124.0,0.0,0.0,0.0,0.0,0.0,3000.0,2500.0,0.0,2500.0,0.0,0.0,1095.0,0.0,2235.0,2.0,0.0,1.0,5000.0,2500.0,16333.0,395.0,1082.0,1330.0,0.0,391.0,485.0,4500.0,4500.0,9000.0,0.0,4140401.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,2,0,22055,五所川原市,1,五所川原市工業用水道事業,2,1,5,3,1,5,1,2,6,0,3620801,0,4010401,4040401.0,4170328.0,15841931.0,2.0,0.0,2.0,166296.0,166298.0,0.0,1413513.0,0.0,394537.0,0.0,931800.0,0.0,12997.0,0.0,74179.0,0.0,1315741.0,4500.0,810606.0,2130847.0,3000.0,10000.0,0.0,10000.0,0.0,0.0,2304.0,63.0,7003.0,10.0,1.0,1.0,9300.0,8500.0,40182.0,1345.0,3684.0,6250.0,0.0,1345.0,2281.0,4500.0,4500.0,9000.0,0.0,4010401.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
