決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,8,0,12050,室蘭市,0,,12,1,0,3,1,0,0,0,0,0,3280415,3570601,0,3,2,200,2,39067,3322,0,0,0,0,12,36664,88848,43962,1,3348,0,0,0,0,0,0,288348,143845,0,0,0,0,0,0,0,0,191129,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,8,0,12068,釧路市,0,,12,1,0,3,1,0,0,0,0,0,3250401,3390401,0,3,2,30,4,2109999,316810,0,0,0,0,15,58051,318718,388996,0,0,0,0,1,370000,22414,2835,163034,85189,0,0,0,0,0,0,0,24891,818721,4,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,8,0,12238,根室市,0,,12,1,0,3,1,0,0,0,0,0,3440401,3440401,0,3,2,30,0,0,0,0,0,0,0,7,11997,113826,140809,0,0,0,0,0,0,0,0,179534,60985,0,0,0,0,0,0,0,11007,212801,4,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,8,0,130001,東京都,0,,12,1,0,1,1,0,0,0,0,0,3390401,4120401,0,3,2,1000,5,368867,51549,0,0,0,0,38,207878,1741478,1375441,0,0,0,0,4,904747,0,0,2329967,2314302,0,0,0,0,0,0,0,439873,4181165,27,4,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,8,0,238015,名古屋港管理組合,0,,12,1,0,5,1,0,0,0,0,0,3321101,3390401,0,3,2,200,9,10003816,1089133,0,0,0,0,41,154062,1898039,895893,0,0,0,0,13,2019504,465391,369558,0,0,0,0,0,0,0,0,0,103806,2458390,49,0,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,8,0,271004,大阪市,0,,12,1,0,2,1,0,0,0,0,0,3360808,3390401,0,3,2,1000,2,399655,47596,2,6566,86791,21851,79,233771,4388835,1571495,0,0,0,0,2,8404,6102,3257,918081,1729917,1,210,28215,0,0,0,0,670906,4073237,29,2,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,8,0,281000,神戸市,0,,12,1,0,2,1,0,0,0,0,0,3260401,3400401,0,3,2,1000,28,1907183,19301,2,3263,2269,27761,73,269857,0,1776114,0,0,0,0,0,0,0,0,6567369,2326680,1,54,11495,0,0,1,6390,167726,4335467,58,2,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,8,0,420000,長崎県,0,,12,1,0,1,1,0,0,0,0,0,3300401,3420401,0,3,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12786,12786,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
