決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2020,47,8,0,150002,新潟県,7,二見港,12,1,0,1,1,0,0,0,0,0,3540401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32127,32127,3962,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,825,92,4787,2017,92,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,150002,新潟県,8,赤泊港,12,1,0,1,1,0,0,0,0,0,3540401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43673,80000,6649,5864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889,951,3,8538,6815,3,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,150002,新潟県,9,姫川港,12,1,0,1,1,0,0,0,0,0,3540401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3571,20915,3729,3729,29,0,0,0,0,0,0,0,0,0,0,0,0,84606,230000,34147,34147,265,0,0,0,0,0,0,0,0,0,0,0,0,0,23303,21680,5839,61179,59556,6133,0,0,0,3,0,0,0,0,0,0,,名称：中央埠頭１号上屋　中央埠頭２号上屋　中央埠頭３号上屋　種類：上屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,150002,新潟県,10,小木港,12,1,0,1,1,0,0,0,0,0,3540401,0,0,0,0,30,0,0,0,0,0,1,2290,33693,13080,12338,0,1,517,21773,3882,3882,0,0,0,0,0,0,0,0,0,0,0,0,0,45247,140000,2083,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12990,9292,5,32035,27595,5,0,0,0,3,0,0,0,0,0,0,,名称：北埠頭上屋　種類：上屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,160008,富山県,1,伏木富山港,12,1,0,1,1,0,0,0,0,0,3390401,0,0,0,0,200,4,1273808,339620,170036,183246,0,0,0,0,0,0,8,12319,50167,57714,32759,49127,0,0,0,0,0,0,1,639843,191676,167779,10133,6375,405273,23000,654829,137489,203891,2,356,244007,125645,143630,0,0,0,0,0,0,0,0,31863,27410,6252,1495812,503472,592521,5,0,5,2,3,0,2,0,0,0,国際物流ターミナル、新湊マリーナ,保管用上屋７棟、くん上上屋１棟,,岩瀬プレジャーボートスポット,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,160008,富山県,2,魚津港,12,1,0,1,1,0,0,0,0,0,3130401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086,1000,9288,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9288,2129,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,1,金沢港湾,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,30,2,879734,124062,79652,74672,0,0,0,0,0,0,4,7465,879734,89216,35211,1155,0,0,0,0,0,0,1,155800,0,5889,0,0,238705,573000,133828,69032,100,2,288,87600,28802,118108,0,0,0,0,0,0,0,0,13997,7949,6800,454592,220646,200835,0,1,1,1,0,0,0,1,0,0,金石地区船だまり,東部上屋、御供田１号上屋、御供田２号上屋、県営くん蒸上屋,,金石地区船だまり,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,2,七尾港湾,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,5116,126073,23716,6717,10592,0,0,0,0,0,0,1,229492,25740,8675,210,100,182458,444000,63933,24754,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96324,31681,10792,0,0,0,3,0,0,0,0,0,0,,県営2号上屋、県営4号上屋、県営5号上屋、県営6号上屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,3,塩屋港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,147,100,1000,147,100,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,170003,石川県,4,滝港,12,1,0,1,1,0,0,0,0,0,3270401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8248,0,2890,282,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,2160,9000,5050,2442,9100,0,0,0,2,0,0,0,0,0,0,滝港マリーナ,,,滝港マリーナ,,,,,,,,,,,,,,,,,,,,,,,,,,
