決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,1,0,11002,札幌市,1,施設001,1,1,1,2,1,0,1,1,2,2,3090222,3120401,3271001,9481624,1,1928932,2153000,1928976,6010908,120000,0,791200,1705,5708,591036,0,5,44,0,1389698,835200,578270,18867922,17553790,37835182,120,10,1386,210,1386,1386,3486,3486,0,400,0,4090401,0,0,0,562,0,112,178,20,49,57,619,0,0,0,0,0,1,0,0,1,0,719495,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12025,函館市,1,末端給水事業,1,1,2,3,1,0,3,2,1,3,1210106,1220920,3271001,5702027,1,272530,328201,272097,872828,123406,0,166455,3807,3564,125170,0,13,29,0,299038,163194,105648,3471049,3010359,6750250,120,10,745,112,745,1165,1869,2289,0,708,0,4161201,0,0,0,115,1,30,16,0,0,11,126,0,0,0,0,128966,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12033,小樽市,1,水道事業,1,1,1,3,1,0,4,2,2,2,1401226,2030930,3271001,6703157,1,126420,160000,126255,412675,120000,0,115490,2361,7660,54167,0,9,38,0,179725,107550,57601,1639098,1278081,3082330,120,20,2667,194,1333,1333,2667,2667,0,400,0,4080401,0,0,0,55,9,11,2,0,0,8,63,0,0,0,0,0,1,0,0,1,0,24502,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12041,旭川市,1,末端給水事業,1,1,1,3,1,0,2,2,2,3,3230812,3230812,3271001,9732625,1,348030,378000,326341,1052371,120000,0,180551,493,774,221847,0,2,34,0,403701,155620,110996,3621685,3125805,7014106,100,8,1071,150,1371,1371,2872,2872,0,206,0,4091001,0,0,0,78,18,16,8,0,0,19,97,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12050,室蘭市,1,末端給水事業,1,1,1,3,1,0,5,2,1,2,2031001,2050401,3271001,7352403,1,90432,98000,90305,278737,100000,0,71500,1103,7749,50344,0,2,15,0,130713,53500,34833,1146303,883093,2117729,120,8,924,131,1186,1186,2577,2577,0,100,0,4090401,0,0,0,26,2,3,5,1,2,7,33,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12068,釧路市,1,末端給水事業,1,1,2,3,1,0,3,2,1,2,2130713,3020101,4171011,9321825,1,195852,253437,194492,643781,100400,0,85454,1412,2471,109889,0,6,24,0,199256,101244,67222,2230360,1915309,4314135,120,8,1158,164,1487,1487,3136,3136,0,300,0,4120401,0,0,0,66,0,28,4,0,0,16,82,0,0,0,0,98702,1,0,0,1,0,19856,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12076,帯広市,1,帯広市水道事業,1,1,1,3,1,0,3,2,3,2,3261109,3281228,3370401,9912738,1,168634,202100,164886,535620,3450,0,44064,79,494,106148,0,1,11,0,150797,84100,48682,1586288,1468678,3187748,120,0,945,47,1417,2005,3937,4525,0,802,0,4200401,0,0,0,46,0,7,4,0,0,9,55,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12084,北見市,1,末端給水事業,1,1,2,3,1,0,4,2,2,2,3251226,3271225,4180305,10702756,1,122613,151870,115283,389766,120400,0,79472,2315,6529,108622,0,10,59,0,197007,72813,49202,1513651,1186172,2821838,120,0,1354,0,1940,1971,3609,3641,0,201,0,4241101,0,0,0,40,8,0,15,4,0,7,47,0,0,0,0,85712,1,0,0,1,0,29738,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12092,夕張市,1,水道施設,1,1,1,3,1,0,9,2,2,1,3030330,3031201,3370401,9431932,2,9765,10750,9717,30232,20000,0,9836,857,1422,19280,0,2,40,0,31437,7430,6794,130388,101945,246557,100,10,2864,369,2956,2967,6646,6657,0,1409,0,4240401,0,0,0,4,1,0,1,0,2,0,4,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12106,岩見沢市,1,001,1,1,1,3,1,0,5,2,5,3,1390917,1411010,3360401,6162328,2,86655,115690,86581,288926,50,0,0,1021,7492,106582,0,0,11,0,115106,50500,31311,1027063,840070,1948944,100,7,882,189,1449,1449,3339,3339,0,1200,0,4210401,0,0,0,17,0,0,8,0,0,3,20,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12114,網走市,1,末端給水事業,1,1,1,3,1,0,6,2,6,2,3261212,3291121,3400401,9952734,2,38511,45000,36280,119791,406,0,18000,116,7507,31748,0,2,19,0,57392,21000,17827,480488,390361,909676,100,8,1388,200,1789,1789,3794,3794,0,500,0,4170401,0,0,0,12,0,1,4,0,0,2,14,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12122,留萌市,1,留萌市水道事業,1,1,1,3,1,0,7,2,1,2,2120921,3030501,3360401,8511823,2,23126,36700,22745,82571,100000,0,14860,40,1745,16218,0,1,12,0,32876,14800,12552,309098,261189,597639,100,8,1478,213,1904,1904,4034,4034,0,1008,0,4210201,0,0,0,9,0,2,0,0,0,4,13,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12131,苫小牧市,1,末端給水事業,1,1,1,3,1,0,3,2,1,3,3250812,3270501,3360401,9881714,2,173884,182000,172657,528541,100000,0,88100,1207,97,120330,0,2,7,0,209743,80500,55728,1832119,1625040,3593387,120,0,934,21,1344,1344,2551,2551,0,300,0,4231001,0,0,0,69,0,25,16,2,0,11,80,0,0,0,0,0,1,0,0,1,0,55079,,,,,,,,,,,,,,,,,,,,,
