決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,5,0,13471,長万部町,0,,8,1,0,4,2,2,2,0,0,0,3341216,3341216,6682432,1,2,2996,2199,1148,0,6343,0,1,1000,1001,22112,2522,0,24634,0,9639,0,0,9639,0,0,0,2150,0,2150,11521,0,12,256,11789,5099,3498,0,2924,11521,0,11521,11521,4231001,0,880,37399,36000,0,24306,0,4329586,0,62000000,3,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,41009,仙台市,0,,8,1,0,2,2,4,1,0,0,0,1431103,3271001,4702104,1,1,493889,475814,345750,1486,1316939,0,8,85606,85614,4372267,672580,0,5044847,0,431711,7875116,0,8306827,0,21635,0,4012840,0,4034475,12528289,22243,37182,-245291,12342423,5012487,1511213,4123986,1902846,12550532,5613785,6936747,12550532,4240401,0,589,15934,17845,32667,16600,13611,4337647,0,45000000,335,18,353,1,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,42056,気仙沼市,0,,8,1,0,3,2,2,1,0,0,0,3341221,4180331,7521552,1,2,25856,7548,1584,202,35190,0,2,7500,7502,55726,5312,0,61038,0,3914,16694,0,20608,0,0,0,0,0,0,16543,2913,18,1154,20628,13043,1906,826,3681,19456,0,19456,19456,4220401,0,680,27730,24037,42937,21874,17890,4355549,0,46000000,7,0,7,2,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,52060,男鹿市,0,,8,1,0,3,1,4,1,0,0,0,3391105,3390701,6781806,1,2,13270,13910,10434,54,37668,0,2,13000,13002,469055,23667,0,492722,0,26005,572,0,26577,0,0,0,101898,0,101898,126260,323,134,3404,130121,56552,25239,0,44792,126583,0,126583,126583,4220801,0,600,22500,22123,52818,18436,21799,4359077,0,50232600,12,2,14,1,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,52108,由利本荘市,0,,8,1,0,3,1,3,1,0,0,0,3351230,3360401,6711631,1,1,30426,13969,8263,0,52658,0,2,4000,4002,206937,29124,0,236061,0,875,353985,0,354860,0,0,0,0,0,0,371157,0,2373,-18634,354896,67963,38733,135723,128738,371157,215946,155211,371157,4250401,0,920,18238,16873,0,15339,0,4301771,0,46046550,11,1,12,0,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,52141,にかほ市,0,,8,1,0,3,1,3,1,0,0,0,3290720,4171001,7461721,1,1,9482,6744,5446,0,21672,0,4,5000,5004,140065,20429,0,160494,0,6821,108917,0,115738,0,0,0,0,0,0,115078,0,473,187,115738,47157,51648,0,16273,115078,39656,75422,115078,4240401,0,684,19174,20915,0,19033,0,4300207,0,46000000,6,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,64289,庄内町,0,,8,1,0,4,1,3,1,0,0,0,3390101,4170701,7560802,1,2,51063,7138,6340,0,64541,0,3,26000,26003,250118,41729,0,291847,0,0,0,0,0,0,0,0,167870,0,167870,173594,0,500,-6227,167867,127007,11580,0,35007,173594,0,173594,173594,4190401,0,560,11040,11321,0,11321,0,4224643,0,41860500,9,0,9,1,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,102105,富岡市,0,,8,1,0,3,1,3,1,0,0,0,3380601,3400401,6781002,1,1,17596,10569,7325,0,35490,0,2,18000,18002,193592,54631,0,248223,0,0,0,0,0,0,0,0,259184,0,259184,252310,0,732,6142,259184,128419,21797,31524,70570,252310,80255,172055,252310,4250401,0,400,9814,10426,0,10117,0,4281158,17,43140000,9,1,10,2,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,103829,下仁田町,0,,8,1,0,4,1,2,1,0,0,0,3391005,3410401,6801406,1,2,3441,1561,1372,0,6374,0,1,1000,1001,36304,6000,0,42304,0,0,0,0,0,0,0,0,36299,0,36299,37346,0,44,-1091,36299,19161,3621,61,14503,37346,0,37346,37346,4240501,0,480,15545,15543,0,15096,0,4287165,0,43100000,4,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
2013,46,5,0,122131,東金市,0,,8,1,0,3,1,4,1,0,0,0,3320401,3340401,6660802,1,2,25398,25398,13602,0,64398,0,3,70810,70813,448037,59836,0,507873,0,0,0,0,0,0,0,0,509435,0,509435,502886,0,240,6263,509389,282075,83341,83863,53607,502886,100645,402241,502886,4190401,0,480,7445,8015,0,8712,0,4215053,0,38511660,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,
