決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,3,1,11002,札幌市,0,,3,1,0,2,1,2,0,0,0,0,3021201,3280101,6301302,1,1,85,31025,23,0,1,31134,32,11319,1470,2998,15819,7833,1061,8894,8008,977,7031,8008,977,7031,20268,2697,17571,1080996,98940,982056,113616,170,0,0,0,0,4040401,0,0,0,280,316,500,525,55,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,1,12025,函館市,0,,3,1,0,3,1,3,0,0,0,0,3181101,3271001,6452102,1,1,109,39785,26,0,2,39922,32,11680,1316,2345,15373,8305,1002,9307,5209,403,4806,5209,403,4806,15627,1209,14418,898070,57142,840928,138854,0,2,200,2,20,4090501,0,0,0,280,316,400,430,67,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,1,130001,東京都,0,,3,1,0,1,2,1,0,0,0,0,1440801,3271001,4711802,1,1,122,44530,30,0,1,44683,36,13140,1248,2881,17305,12049,1566,13615,16626,7362,9264,16626,7362,9264,43002,18759,24243,2072942,786437,1286505,252302,160,0,0,0,0,4070301,0,0,0,250,288,400,430,121,0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,1,431001,熊本市,0,,3,1,0,2,1,2,0,0,0,0,2130801,3271001,5401802,1,1,121,44136,35,0,2,44294,52,18980,2164,3189,24385,13586,1729,15315,10890,2341,8549,10896,2342,8554,36434,8805,27629,1278305,178632,1099673,206327,150,0,0,0,0,4191012,0,0,0,400,430,500,525,101,0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,1,462012,鹿児島市,0,,3,1,0,3,1,3,0,0,0,0,3030701,3280101,6310802,1,1,131,47815,35,0,2,47983,54,19710,1311,3772,24847,13406,1716,15122,10790,2273,8517,11254,2273,8981,38844,8183,30661,1454107,214617,1239490,284464,160,0,0,0,0,4020601,0,0,0,300,335,500,525,166,0,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,5,11002,札幌市,0,,3,1,0,2,1,2,0,0,0,0,3461216,3430624,6891840,1,1,480,175200,49,2,3,175732,368,134320,5314,48717,188719,103858,33708,5751,213808,61583,152225,262393,84577,177816,1266287,448213,818074,35921857,7760950,28160907,1099413,0,3,200,4,40,4090401,0,0,0,300,335,600,620,515,31,546,39.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,5,41009,仙台市,0,,3,1,0,2,1,2,0,0,0,0,3620715,3550401,7171116,1,1,148,54020,17,2,1,54186,84,30660,2212,12096,45052,23232,6916,1729,60472,26596,33876,60472,26596,33876,321704,152740,168964,10943422,3619575,7323847,935896,0,3,200,3,0,4090414,0,0,0,350,383,500,525,301,154,455,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,5,130001,東京都,0,,3,1,0,1,1,1,0,0,0,0,3351204,3321217,6672421,1,1,1090,397850,106,98,4,399050,1116,406970,16924,137028,562038,317484,117304,15265,896761,528113,368648,1020326,595816,424510,6268610,4018617,2249993,127841268,60300211,67541057,6793924,0,4,170,6,50,4090601,0,0,0,353,385,649,667,3370,0,3370,104.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,5,141003,横浜市,0,,3,1,0,2,1,2,0,0,0,0,3471216,3411101,6882317,1,1,534,194910,40,9,2,195486,290,102954,3165,35188,141597,86688,32945,5955,225858,139684,86174,234685,144914,89771,1738436,1066012,672424,38233125,18585573,19647552,1652648,0,3,200,4,30,4090901,0,0,0,350,383,600,620,785,86,871,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,3,5,231002,名古屋市,0,,3,1,0,2,1,2,0,0,0,0,3321115,3321115,6642230,1,1,933,340545,100,46,6,341584,788,287680,14611,92160,395239,231985,69012,11868,447559,228779,218780,627962,317495,310467,2856533,1572305,1284228,71936983,27088360,44848623,5359458,0,3,200,4,30,4080401,0,0,0,320,354,600,620,2649,116,2765,97.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
