決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,3,3,22012,青森市,0,,4,1,0,3,2,5,0,0,0,0,2150306,4170401,6320707,1,1,2356,170,2526,146,0,56350,0,2023,0,9966,0,146,2,43,0,0,0,40595,0,3859,0,263516,376646,8184,518,7666,0,35193,2228,32965,0,2105537,136668,1968869,0,0,336379,0,52924,0,0,130,4190,0,4090501,0,0,300,335,400,430,213,0,213,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,22039,八戸市,0,,4,1,0,3,1,5,0,0,0,0,3071001,3280101,6351102,1,2,1784,101,1885,124,0,45260,0,2301,0,9029,0,124,2,25,0,0,0,38880,0,3871,0,258418,358034,7897,1611,6286,0,26628,5433,21195,0,1143948,225494,918454,0,0,456584,0,42625,0,0,150,3770,0,4090411,0,0,300,335,400,430,219,0,219,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,41009,仙台市,0,,4,1,0,2,2,2,0,0,0,0,3170821,3271001,6441822,1,1,5941,250,6191,530,0,192718,0,6869,0,39500,0,530,188,61,9,0,31,157975,0,14905,0,727067,1140383,44532,14610,29922,0,164768,54057,110711,0,7282346,1566066,5716280,0,0,927471,0,118338,0,0,150,3810,0,4090414,0,0,300,335,400,430,440,0,440,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,130001,東京都,0,,4,1,0,1,1,1,0,0,0,0,2130118,3271001,5401119,1,1,7442,131,7573,1453,5,522020,10172,11464,38,103342,285,1453,1452,0,1,0,183,441007,9016,43861,209,4212062,5358023,212025,87857,124168,538,601665,241079,360586,12320,33386616,12578871,20807745,280831,293689,5388408,36346,553525,200,170,0,0,0,4070301,0,0,250,288,400,430,2565,0,2565,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,133817,三宅村,0,,4,1,0,4,1,7,0,0,0,0,3230401,3310401,6540802,1,2,369,13,382,6,3,2282,1346,90,52,307,116,6,0,0,0,0,0,1460,315,151,15,5840,11989,44,9,35,9,158,32,126,112,20334,14126,6208,13830,13951,9600,1135,1460,0,0,100,2690,0,4231001,0,0,250,290,400,430,14,0,14,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,134015,八丈町,0,,4,1,0,4,1,7,0,0,0,0,3321001,3360601,6681602,1,1,715,10,725,6,3,2008,1284,75,13,332,151,6,2,0,0,0,0,1297,746,125,30,6007,12085,85,0,85,26,577,0,577,744,13626,0,13626,40388,41158,13630,7340,1095,0,0,120,3060,0,4090401,0,0,250,287,400,430,11,0,11,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,141003,横浜市,0,,4,1,0,2,1,2,0,0,0,0,3031110,3271001,6302111,1,1,5233,130,5363,788,14,287183,4737,4855,117,54809,987,788,768,18,20,0,788,230638,6778,25477,506,2021426,2640697,120156,59802,60354,1145,352151,174839,177312,85528,19096119,8282624,10813495,228909,315581,2693643,31452,305272,210,0,0,0,0,4090901,0,0,250,288,400,433,1216,0,1216,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,141305,川崎市,0,,4,1,0,2,2,2,0,0,0,0,3251215,3271001,6522216,1,1,1951,104,2055,335,5,120517,1825,1933,56,23814,321,335,316,19,0,0,41,107870,739,12943,37,1030730,1301836,46193,10746,35447,267,161214,37504,123710,2436,7448702,1387045,6061657,32803,35506,1315237,5368,154493,200,0,0,0,0,4070301,0,0,250,288,400,430,530,0,530,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,192082,南アルプス市,0,,4,1,0,3,1,7,0,0,0,0,3550908,3550908,7101816,1,2,102,1,103,6,0,798,0,66,0,169,0,4,0,0,1,0,0,401,0,26,0,943,2414,35,35,0,0,357,357,0,0,23837,23837,0,0,0,1504,0,1080,550,0,0,4264,0,3570615,3570615,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,
2013,46,3,3,202096,伊那市,0,,4,1,0,3,1,7,0,0,0,0,3550908,3550829,7101737,1,2,226,1,227,10,0,2008,0,100,0,285,0,0,0,0,1,0,0,879,0,88,0,2983,6354,51,51,0,0,1153,1153,0,0,58452,58452,0,0,0,4500,0,1640,0,0,200,4980,0,4150821,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,
