決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,11,1,32158,奥州市,1,国民宿舎サンホテル衣川荘,16,1,0,3,2,0,0,0,0,0,0,3460710,4180220,0,3,2,8035,1205938,3149,76,345,0,17562,21278,38840,112513,70493,0,7140,7140,6405,1575,0,25,0,25,3,旅館業法(昭和23年法律第183号),宿泊、法事、宴会、喫茶、スナック、結婚式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,104213,中之条町,1,国民宿舎四万ゆずりは荘,16,1,0,4,2,0,0,0,0,0,0,3411105,3430401,0,2,2,2579,551126,2897,31,110,0,10233,670,10903,309,103086,0,7400,7400,6600,2000,0,2,0,2,3,旅館業法,町民および観光客の宿泊および休憩等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,104299,東吾妻町,1,国民宿舎　榛名吾妻莊,16,1,0,4,4,0,0,0,0,0,0,3390718,3440401,0,2,2,7020,1701164,7536,28,130,0,12940,8093,21033,0,0,0,7800,6500,3500,1000,0,0,0,0,2,旅館業法、食品衛生法、風俗営業法、酒類販売免許,公営企業会計廃止、一般会計においての想定企業会計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,104434,片品村,1,尾瀬ロッジ,16,1,0,4,2,0,0,0,0,0,0,3370718,3370401,0,3,2,838,262430,2025,23,67,0,3387,0,3387,0,28270,0,8500,8000,6000,0,0,0,0,0,2,旅館業法,山小屋。平成２１年からアリス工業株式会社を指定管理者として、尾瀬ロッジの管理をお願いしている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,104434,片品村,2,ロッジまきば,16,1,0,4,2,0,0,0,0,0,0,3571226,4020401,0,3,2,1579,248895,5000,17,78,0,0,0,0,0,0,0,6000,5500,3500,0,0,0,0,0,2,旅館業法,旅館。平成１４年度から休業中。平成１８年度から武尊山観光開発株式会社を指定管理者として、片品村営武尊牧場観光施設全般の管理をお願いしている。スキーシーズン中にレストランのみ営業している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,104434,片品村,3,武尊牧場キャンプ場,16,1,0,4,2,0,0,0,0,0,0,3470524,4020401,0,3,2,1252,199596,10000,31,361,0,4645,0,4645,0,10008,0,2700,2700,2700,0,0,0,0,0,2,旅館業法,ログハウス、食堂、売店。平成１８年度から武尊山観光開発株式会社を指定管理者として、片品村営武尊牧場観光施設全般の管理をお願いしている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,113654,小鹿野町,1,国民宿舎　両神荘,16,1,0,4,2,0,0,0,0,0,0,3501201,4171001,0,3,2,4302,1238701,9951,40,168,0,19803,20996,40799,16306,187587,0,4305,2730,2625,1050,0,0,0,0,3,旅館業法,休憩・宿泊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,184233,越前町,1,国民宿舎かれい崎荘,16,1,0,4,4,0,0,0,0,0,0,3470708,3470708,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,184811,高浜町,1,国民宿舎 城山荘,16,1,0,4,2,0,0,0,0,0,0,3350701,3400401,0,3,2,3261,636067,4457,31,86,0,9491,5382,14873,20360,80280,0,7035,6510,0,1575,0,4,0,4,3,自然公園法第１４条第３項,旅行者に対する宿泊サービスの提供、並びに会議、研修等の会場提供,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,1,192139,甲州市,1,市営ぶどうの丘,16,1,0,3,1,0,0,0,0,0,0,3500801,3500801,0,2,1,7582,208214,31947,21,79,0,12866,411260,424126,756713,109766,0,7868,5588,4013,1500,0,15,0,15,3,地方公営企業法,宿泊、食事、ワイン試飲販売、温泉、美術館、イベント、会場貸出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
