決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2015,46,8,0,12050,室蘭市,0,,12,1,0,3,1,0,0,0,0,0,3280415,3570601,0,3,2,200,2,166023,2300,0,0,0,0,12,36664,87526,45218,1,3348,0,0,0,0,0,0,288348,145179,0,0,0,0,0,0,0,0,192697,0,0,0,2,株式会社エンルムマリーナ室蘭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,8,0,12068,釧路市,0,,12,1,0,3,1,0,0,0,0,0,3250401,3390401,0,3,2,30,4,2106663,246553,0,0,0,0,15,58051,430784,393628,0,0,0,0,1,370000,0,0,163034,95580,0,0,0,0,0,0,0,23761,759522,4,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,8,0,12238,根室市,0,,12,1,0,3,1,0,0,0,0,0,3440401,3440401,0,3,2,30,0,0,0,0,0,0,0,7,11997,113268,129099,0,0,0,0,0,0,0,0,170514,52737,0,0,0,0,0,0,0,9520,191356,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,8,0,130001,東京都,0,,12,1,0,1,1,0,0,0,0,0,3390401,4120401,0,3,2,1000,5,324959,45021,0,0,0,0,37,201303,2376108,1348721,0,0,0,0,4,904747,0,0,2320504,2364919,0,0,0,0,0,0,0,435829,4194490,26,4,30,1,船舶給水施設(岸壁給水施設及び運搬給水施設),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,8,0,238015,名古屋港管理組合,0,,12,1,0,5,1,0,0,0,0,0,3321101,3390401,0,3,2,200,8,8771841,319681,0,0,0,0,40,148062,2044197,927712,0,0,0,0,13,2019504,414683,374490,0,0,0,0,0,0,0,0,0,105873,1727756,43,0,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,8,0,271004,大阪市,0,,12,1,0,2,1,0,0,0,0,0,3360808,3390401,0,3,2,1000,2,321695,44780,2,6566,120439,8083,79,233771,5107931,1599943,0,0,0,0,1,4902,7934,2624,983041,1953553,0,0,0,0,0,0,0,647588,4256571,23,1,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,8,0,281000,神戸市,0,,12,1,0,2,1,0,0,0,0,0,3260401,3400401,0,3,2,1000,28,2193534,9667,2,3263,1992,24982,64,244975,0,1902675,0,0,0,0,0,0,0,0,6543559,3147705,0,0,0,0,0,1,7333,125710,5218072,63,2,65,1,・六甲旅客ターミナル・神戸市立須磨ヨットハーバー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,8,0,420000,長崎県,0,,12,1,0,1,1,0,0,0,0,0,3300401,3420401,0,3,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12709,12709,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
