決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2020,46,12,1,12050,室蘭市,0,,11,1,0,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3320401,3570601,0,3,2,14047370,1294635,10850,846265,25314,0,13750683,1294635.0,0.0,0.0,296687.0,0.0,4684.0,75541.0,16127.0,0.0,20.0,448370.0,534383.0,311882.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,12068,釧路市,0,,11,1,0,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3441202,3441202,0,3,2,27808226,1733159,16045,1313164,21177,0,27808226,1733159.0,0.0,0.0,0.0,0.0,25257.0,182228.0,7215.0,0.0,20.0,419995.0,1050323.0,262841.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,12238,根室市,0,,11,1,0,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3440401,3440401,0,3,2,400640,129637,3090,82058,11983,0,400640,129637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47579.0,44189.0,37869.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,120006,千葉県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3360401,3380601,0,2,1,775315277,20821007,37237,13864797,55920,0,775315277,20821007.0,0.0,0.0,0.0,0.0,92165.0,9111876.0,98865.0,0.0,23.0,6956210.0,12505032.0,1359765.0,96.0,0.0,96.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,130001,東京都,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3360401,3390401,0,3,2,1925684000,27659000,69622,14607585,131828,0,1879059761,27004000.0,6501307.0,6000.0,46624239.0,655000.0,8424.0,9900.0,1175.0,0.0,20.0,12396415.0,13798922.0,808663.0,68.0,39.0,107.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,141003,横浜市,0,,11,1,0,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3300401,3300401,0,3,2,650695162,1903412,341857,937597,694003,0,600316805,1421330.0,1285946.0,110134.0,50378357.0,482082.0,10186.0,652263.0,64035.0,0.0,20.0,630136.0,688723.0,102471.0,9.0,10.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,150002,新潟県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3380801,3380801,0,3,2,178065000,15338394,11609,15338394,11609,0,176889629,14387614.0,0.0,0.0,1175371.0,950780.0,0.0,0.0,0.0,0.0,0.0,0.0,13908324.0,479290.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,170003,石川県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3410401,3510101,0,3,2,5764140,1039220,5547,985639,5848,0,5764140,1039220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53581.0,931421.0,54218.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,180009,福井県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3450401,3460801,0,2,2,136906000,12472000,10977,11028000,12414,0,123773864,11887661.0,0.0,0.0,13132136.0,584339.0,0.0,0.0,0.0,0.0,0.0,1378893.0,10088226.0,420542.0,0.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,12,1,238015,名古屋港管理組合,0,,11,1,0,5,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3340401,3390401,0,3,2,272179000,31848000,8546,24892000,10934,0,254003608,30713322.0,0.0,0.0,18175392.0,1134678.0,0.0,0.0,0.0,0.0,0.0,6000050.0,24195290.0,517982.0,9.0,37.0,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
