決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,12,2,12131,苫小牧市,0,,18,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350401,3410401,0,3,2,46000649.0,5104369.0,9012.0,4390888.0,10476.0,0.0,34323824.0,4330979.0,0.0,0.0,11676825.0,773390.0,20680.0,232481.0,11242.0,0.0,20.0,601279.0,2700859.0,1028841.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,70009,福島県,0,,18,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3390401,3440401,0,2,2,45434934.0,4812377.0,9441.0,3016138.0,15064.0,0.0,39978299.0,4794935.0,6066507.0,600417.0,5456635.0,17442.0,724343.0,4598294.0,6348.0,0.0,20.0,1778797.0,2590134.0,426004.0,8.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,72109,二本松市,0,,18,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360601,3360601,0,2,2,2116942.0,178466.0,11862.0,178466.0,11862.0,0.0,2116942.0,178466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35574.0,142892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,74641,泉崎村,0,,18,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4130319,4130319,0,3,1,3895486.0,293077.0,13292.0,293077.0,18592.0,0.0,3895486.0,293077.0,0.0,0.0,0.0,0.0,23948.0,297279.0,12413.0,0.0,20.0,0.0,159067.0,134010.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,75213,三春町,0,,18,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610326,4140401,0,2,2,2382921.0,234371.0,10167.0,160981.0,14802.0,0.0,2188359.0,234371.0,0.0,0.0,194562.0,0.0,4454.0,81470.0,18291.0,0.0,20.0,73390.0,150625.0,10356.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,80004,茨城県,0,,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4060401,4060401,0,2,1,26306878.0,1077000.0,24426.0,759206.0,29191.0,0.0,22271554.0,872402.0,535165.0,56285.0,4035324.0,204598.0,61335.0,1790088.0,29185.0,0.0,20.0,244342.0,413803.0,214257.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,90000,栃木県,0,,18,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610401,3610401,0,2,2,48177753.0,3164473.0,15225.0,2287236.0,21064.0,0.0,40179205.0,2417124.0,0.0,1110.0,7998548.0,747349.0,16436.0,256100.0,15581.0,0.0,0.0,770048.0,1236930.0,410146.0,6.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,100005,群馬県,0,,18,1,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3370501,3370501,0,2,1,142429878.0,5287666.0,26936.0,3974677.0,40053.0,0.0,107422713.0,4250892.0,0.0,0.0,35007165.0,1036774.0,89240.0,1729423.0,19379.0,0.0,20.0,871215.0,2663870.0,715807.0,22.0,10.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,110001,埼玉県,0,,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3390401,3400401,0,2,1,134555945.0,4369928.0,30791.0,2910425.0,40300.0,0.0,111861854.0,3658828.0,0.0,0.0,22694091.0,711100.0,170923.0,7251883.0,42428.0,0.0,20.0,1314403.0,1636581.0,707844.0,19.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,12,2,120006,千葉県,0,,18,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410326,3380601,0,2,1,809365003.0,20568229.0,39350.0,13008317.0,62219.0,0.0,777951060.0,12871657.0,3918437.0,710011.0,31413943.0,7696572.0,471125.0,7880067.0,16726.0,0.0,23.0,0.0,11471809.0,1399848.0,45.0,12.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
