決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,1,0,11002,札幌市,1,施設001,23,1,1,2,1,0,1,1,2,2,2000000,2000000,0,284000,31689,0.0,370957.0,72600.0,485740.0,0.0,0.0,719494,3964480,0,0,3964480,10948755,406198,0,1457220,266189,9491535,1733811,1800000,0,200000,485740,0,0,315689,8147326,10434990,0,0,0,10434990,0,0,0,3000000,24383745,0.0,20419265.0,5747494.0,10661489.0,0.0,3063000.0,541343.0,0.0,405939.0,405939.0,20419265.0,0.0,0.0,310769813.0,17787487.0,4803895.0,68948815.0,121574518.0,328557300.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12025,函館市,1,末端給水事業,23,1,2,3,1,0,3,2,1,3,942300,942300,0,0,15600,0.0,81636.0,2771.0,0.0,0.0,0.0,233509,1275816,0,0,1275816,1513452,77811,0,0,0,1513452,942300,0,942300,0,0,0,0,9205,561947,1344819,0,0,0,1344819,0,0,0,0,2858271,0.0,1582455.0,1436083.0,92484.0,0.0,0.0,0.0,0.0,53888.0,53888.0,1582455.0,0.0,0.0,30127111.0,2884512.0,568793.0,6632995.0,7064247.0,33011623.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12033,小樽市,1,水道事業,23,1,1,3,1,0,4,2,2,2,821700,821700,0,113382,1260,0.0,1024.0,47.0,28150.0,0.0,17956.0,80000,1063519,0,0,1063519,932819,55301,0,112600,84300,820219,737400,411500,410200,0,28150,0,17956,7821,57192,1433654,0,0,0,1433654,0,0,0,59664,2426137,0.0,1362618.0,138958.0,409281.0,0.0,0.0,775475.0,0.0,38904.0,38904.0,1362618.0,0.0,0.0,31208728.0,1079437.0,431188.0,4400169.0,11440980.0,32427887.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12041,旭川市,1,末端給水事業,23,1,1,3,1,0,2,2,2,3,802600,802600,0,327211,2627,0.0,0.0,108.0,0.0,0.0,22572.0,0,1155118,0,0,1155118,1768551,137301,0,0,0,1768551,802600,0,652200,150400,0,0,22572,2627,940752,2385728,0,0,0,2385728,0,0,0,0,4154279,0.0,2999161.0,1868604.0,1070518.0,0.0,0.0,0.0,0.0,60039.0,60039.0,2999161.0,0.0,0.0,60964349.0,2029199.0,704022.0,8113206.0,17108626.0,62993548.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12050,室蘭市,1,末端給水事業,23,1,1,3,1,0,5,2,1,2,150000,150000,0,0,0,0.0,384.0,5.0,26000.0,0.0,51326.0,65000,292715,0,0,292715,673316,44955,0,78000,0,595316,150000,0,150000,0,26000,0,51326,384,445606,247267,0,0,0,247267,0,0,0,1235,921818,0.0,629103.0,354627.0,0.0,247297.0,0.0,0.0,0.0,27179.0,27179.0,629103.0,0.0,0.0,15847882.0,1049058.0,164549.0,4215074.0,3929825.0,16896940.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12068,釧路市,1,末端給水事業,23,1,2,3,1,0,3,2,1,2,2041200,2041200,0,0,35812,0.0,48723.0,0.0,230336.0,0.0,38766.0,150000,2544837,0,0,2544837,3172496,122454,0,739008,486400,2433488,1554800,446200,1595000,0,230336,0,38766,84535,777659,1220341,0,0,0,1220341,0,0,0,0,4392837,0.0,1848000.0,308889.0,1420536.0,0.0,0.0,0.0,0.0,118575.0,118575.0,1848000.0,0.0,0.0,34747680.0,3894733.0,997749.0,7415662.0,12920068.0,38642413.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12076,帯広市,1,帯広市水道事業,23,1,1,3,1,0,3,2,3,2,766600,766600,0,0,6515,0.0,0.0,0.0,0.0,0.0,0.0,8424,781539,0,0,781539,1466005,66665,0,0,0,1466005,766600,0,766600,0,0,0,0,6515,692890,993810,0,0,0,993810,0,0,0,1541,2461356,0.0,1679817.0,544855.0,75904.0,0.0,0.0,993810.0,0.0,65248.0,65248.0,1679817.0,0.0,0.0,29862657.0,2112713.0,410981.0,5434782.0,10258424.0,31975370.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12084,北見市,1,末端給水事業,23,1,2,3,1,0,4,2,2,2,1176200,1176200,0,25400,2515,0.0,28153.0,0.0,203394.0,0.0,1550.0,163204,1600416,0,0,1600416,1523345,44819,0,610183,381400,913162,794800,1176200,0,0,203394,0,0,27915,115836,671100,0,0,0,671100,0,0,0,0,2194445,0.0,594029.0,539359.0,0.0,0.0,0.0,0.0,0.0,54670.0,54670.0,594029.0,0.0,0.0,32357520.0,2949387.0,317057.0,5213947.0,11081596.0,35306907.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12092,夕張市,1,水道施設,23,1,1,3,1,0,9,2,2,1,5800,5800,0,0,0,0.0,9687.0,0.0,0.0,0.0,3900.0,0,19387,0,0,19387,31276,0,0,0,0,31276,5800,0,5800,0,0,0,3900,0,21576,146122,0,0,0,145728,394,11000,0,0,188398,0.0,169011.0,0.0,151717.0,311.0,0.0,16000.0,0.0,983.0,983.0,169011.0,0.0,0.0,4921293.0,147191.0,118074.0,870093.0,3035545.0,5101148.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12106,岩見沢市,1,001,23,1,1,3,1,0,5,2,5,3,344000,344000,0,22400,0,0.0,0.0,0.0,123720.0,0.0,20622.0,0,510742,0,0,510742,962064,19715,0,371160,0,590904,344000,344000,0,0,123720,0,20622,22400,451322,359952,0,0,0,359952,0,0,0,0,1322016,0.0,811274.0,429399.0,0.0,0.0,0.0,344000.0,0.0,37875.0,37875.0,811274.0,0.0,0.0,16179378.0,1558619.0,632662.0,3278840.0,6914416.0,17737997.0,,,,,,,,,,,,,,,,,,,,
