決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,9,0,11002,札幌市,1,札幌市中央卸売市場,13,1,0,2,2,0,1,0,0,0,3341210,3350401,0,3,2,129749,21699,9160,5227,3435,1188,0,0,4493,51117,519,41767,0,67072,249485,42990,61864,18593,110431,107699,0,0,0,0,0,4240501,4240501,25,25,0,1178,1178,824,824,0,0,0,1178,8925,0,2,2,0,27,30,0,445,68,0,12,12,0,22,1,23,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,12050,室蘭市,1,北海道室蘭市公設地方卸売市場,13,1,0,3,1,0,2,0,0,0,3430906,3440401,0,3,2,74483,10287,4361,1582,1275,1344,0,643,2581,13187,560,2595,0,24635,11036,1969,4381,1314,8240,4158,0,0,1,10,0,3430316,4240401,25,25,0,205,1031,154,309,0,0,1134,721,0,0,1,1,0,7,9,0,84,62,0,7,11,0,1,0,1,1,,,,,,,,,,,,,,,,,,,
2013,46,9,0,12068,釧路市,1,釧路市公設地方卸売市場,13,1,0,3,1,0,2,0,0,0,3470401,3470401,0,3,2,66000,5866,1486,1843,0,0,0,750,912,19387,799,329,0,9014,25876,6206,12900,3941,0,0,0,0,667,581,0,4180401,4180401,25,0,0,172,1260,0,0,0,0,472,682,0,0,1,0,1,4,0,1,79,0,77,10,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,
2013,46,9,0,12131,苫小牧市,1,苫小牧市公設地方卸売市場,13,1,0,3,1,0,2,0,0,0,3280601,3461101,0,3,2,42557,4873,729,801,530,1135,0,112,680,11250,75,3184,0,10058,9932,2015,4455,1307,15573,7286,0,0,7699,564,0,3410701,4181201,50,50,0,252,252,252,315,1522,682,0,525,0,0,1,1,1,3,0,1,74,105,103,0,2,0,4,0,4,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,92011,宇都宮市,1,宇都宮市中央卸売市場,13,1,0,3,1,0,1,0,0,0,3451130,4150401,0,3,2,152937,18402,5325,4637,0,7514,1059,8600,8742,57387,1147,3296,0,43953,89885,17534,35424,11030,13052,12348,153,40,1816,398,0,4010401,4140701,30,30,0,105,1575,263,0,1471,1288,1785,974,0,0,1,1,0,15,9,0,339,270,0,23,14,0,15,0,15,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,122041,船橋市,1,船橋市中央卸売市場,13,1,0,3,1,0,1,0,0,0,3440523,3450401,0,3,2,123687,14526,8790,5167,2184,6267,3407,3600,7804,25962,1342,4701,0,43050,35311,6717,10887,3131,14697,13041,0,0,1278,173,0,4050401,4100601,25,25,0,130,1010,1090,560,0,1080,610,1290,0,0,1,1,0,16,67,0,119,9,0,34,27,0,19,0,19,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,130001,東京都,1,築地市場,13,1,0,1,1,0,1,0,0,0,3100211,3390401,0,3,2,230836,42066,15210,6378,5755,11783,6065,3948,34934,87918,13967,28332,0,208504,224667,58240,61624,21666,472431,422023,4657,1215,11993,5346,0,3320416,4140401,25,25,0,530,2090,246,1000,1190,1370,2320,2150,660,0,3,7,0,103,664,0,667,292,0,20,139,0,243,0,243,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,130001,東京都,2,大田市場,13,1,0,1,1,0,1,0,0,0,4010506,4010506,0,3,2,386426,44300,13499,16162,4424,19250,716,6700,45323,125169,2324,63371,0,216200,708447,170082,229377,87927,11376,10737,4490,1040,9801,2782,0,4010506,4140401,25,25,0,530,2090,246,1000,1190,1370,2320,2150,660,0,4,1,2,167,43,19,1264,21,1606,8,79,0,29,0,29,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,130001,東京都,3,食肉市場,13,1,0,1,1,0,1,0,0,0,3411219,3420401,0,3,2,61254,1537,1569,0,1331,18551,10027,138,10417,7337,2380,23411,0,35536,0,0,0,0,0,0,85249,112738,0,0,0,3411219,4140401,0,0,20,530,2090,0,1000,1190,695,2320,2150,660,0,0,0,1,0,0,26,0,0,170,0,8,0,33,0,33,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,130001,東京都,4,豊島市場,13,1,0,1,1,0,1,0,0,0,3120325,3390401,0,3,2,23333,7027,798,0,993,663,0,677,3938,11048,549,1015,0,17158,81210,16821,12085,3713,0,0,312,81,569,180,0,3320416,4140401,25,0,0,530,2090,246,1000,1190,1370,2320,2150,660,0,1,0,0,11,0,0,246,0,0,0,6,0,8,0,8,3,,,,,,,,,,,,,,,,,,,
2013,46,9,0,130001,東京都,5,淀橋市場,13,1,0,1,1,0,1,0,0,0,3140216,3390401,0,3,2,32340,11830,1221,0,1354,0,0,314,2995,17979,1169,1305,0,27188,184213,40730,51056,15182,0,0,1018,226,3165,799,0,3320416,4140401,25,0,0,530,2090,246,1000,1190,1370,2320,2150,660,0,1,0,0,15,0,0,616,0,0,0,7,0,16,0,16,3,,,,,,,,,,,,,,,,,,,
