決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2017,46,12,1,12050,室蘭市,0,,11,1,0,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3320401,3570601,0,3,2,14047370,1294635.0,10850.0,846265.0,25314.0,0.0,13750683.0,1294635.0,0.0,0.0,296687.0,0.0,0.0,0.0,0.0,0.0,0.0,448370.0,529699.0,316566.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,12068,釧路市,0,,11,1,0,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3441202,3441202,0,3,2,27808226,1733135.0,16045.0,1313140.0,21177.0,0.0,27808226.0,1733135.0,0.0,0.0,0.0,0.0,15000.0,132000.0,8800.0,0.0,20.0,419995.0,980649.0,332491.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,12238,根室市,0,,11,1,0,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3440401,3440401,0,3,2,400640,129637.0,3090.0,82058.0,11983.0,0.0,400640.0,129637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47579.0,44189.0,37869.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,120006,千葉県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3360401,3380601,0,2,1,959193848,31008280.0,30933.0,21241157.0,45157.0,0.0,959193848.0,31008280.0,0.0,0.0,0.0,0.0,115468.0,19512900.0,168990.0,0.0,23.0,9767123.0,19709422.0,1531735.0,107.0,0.0,107.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,130001,東京都,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3360401,3390401,0,3,2,1925684000,27659000.0,69622.0,14607323.0,131830.0,0.0,1855444952.0,26977000.0,6515980.0,2000.0,70239048.0,682000.0,30166.0,168600.0,5589.0,0.0,20.0,12369677.0,13755596.0,851727.0,64.0,32.0,96.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,141003,横浜市,0,,11,1,0,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3300401,3300401,0,3,2,650695162,1903412.0,341857.0,937603.0,693999.0,0.0,594580093.0,1211290.0,0.0,0.0,56115069.0,692122.0,533.0,88858.0,166713.0,0.0,3.0,553295.0,532135.0,125860.0,10.0,10.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,150002,新潟県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3380801,3380801,0,3,2,178065000,15332000.0,11614.0,15332000.0,11614.0,0.0,176889629.0,14381220.0,0.0,0.0,1175371.0,950780.0,17540.0,86987.0,4959.0,0.0,20.0,0.0,13908324.0,472896.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,170003,石川県,0,,11,1,0,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3410401,3510101,0,3,2,5764140,1039220.0,5547.0,985639.0,5848.0,0.0,5764140.0,1039220.0,0.0,0.0,0.0,0.0,730.0,5405.0,7400.0,0.0,100.0,53581.0,929684.0,55955.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,180009,福井県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3450401,3460801,0,2,2,130513000,12357000.0,10562.0,10782000.0,12105.0,0.0,121576774.0,11887661.0,0.0,0.0,8936226.0,469339.0,0.0,0.0,0.0,0.0,0.0,1378893.0,10039418.0,469350.0,0.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,46,12,1,238015,名古屋港管理組合,0,,11,1,0,5,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3340401,3390401,0,3,2,256774000,31848000.0,8062.0,24892000.0,10316.0,0.0,245567066.0,30584358.0,0.0,0.0,11206934.0,1263642.0,19554.0,936653.0,47901.0,0.0,20.0,5982054.0,24195290.0,407014.0,9.0,35.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
